# Geant4 Stopping Power Data
# Particle: proton
# Material: water
# Physics Model: FTFP_BERT
# Density: 1.0 g/cm³
#
# Energy units: MeV
# dE/dx units: MeV/cm
# Mass dE/dx units: MeV·cm²/g
#
   Energy (MeV)     Total dE/dx (MeV/cm)      Total Mass dE/dx (MeV cm^2/g)
       201.6000                   3.3161                             3.3161
       202.6000                   3.3056                             3.3056
       203.1000                   3.3004                             3.3004
       204.1000                   3.2900                             3.2900
       204.6000                   3.2849                             3.2849
       205.6000                   3.2747                             3.2747
       206.1000                   3.2696                             3.2696
       207.1000                   3.2595                             3.2595
       207.6000                   3.2545                             3.2545
       208.6000                   3.2446                             3.2446
       209.1000                   3.2397                             3.2397
       210.1000                   3.2299                             3.2299
       210.6000                   3.2250                             3.2250
       211.6000                   3.2154                             3.2154
       212.1000                   3.2106                             3.2106
       213.1000                   3.2010                             3.2010
       213.6000                   3.1963                             3.1963
       214.6000                   3.1869                             3.1869
       215.1000                   3.1823                             3.1823
       216.1000                   3.1730                             3.1730
       216.6000                   3.1684                             3.1684
       217.6000                   3.1592                             3.1592
       218.1000                   3.1547                             3.1547
       219.1000                   3.1457                             3.1457
       219.6000                   3.1412                             3.1412
       220.6000                   3.1323                             3.1323
       221.1000                   3.1279                             3.1279
       222.1000                   3.1191                             3.1191
       222.6000                   3.1147                             3.1147
       223.6000                   3.1061                             3.1061
       224.1000                   3.1018                             3.1018
       225.1000                   3.0932                             3.0932
       225.6000                   3.0889                             3.0889
       226.6000                   3.0805                             3.0805
       227.1000                   3.0763                             3.0763
       228.1000                   3.0680                             3.0680
       228.6000                   3.0638                             3.0638
       229.6000                   3.0556                             3.0556
       230.1000                   3.0515                             3.0515
       231.1000                   3.0434                             3.0434
       231.6000                   3.0393                             3.0393
       232.6000                   3.0313                             3.0313
       233.1000                   3.0273                             3.0273
       234.1000                   3.0194                             3.0194
       234.6000                   3.0154                             3.0154
       235.6000                   3.0076                             3.0076
       236.1000                   3.0037                             3.0037
       237.1000                   2.9960                             2.9960
       237.6000                   2.9922                             2.9922
       238.6000                   2.9845                             2.9845
       239.1000                   2.9807                             2.9807
       240.1000                   2.9732                             2.9732
       240.6000                   2.9694                             2.9694
       241.6000                   2.9620                             2.9620
       242.1000                   2.9583                             2.9583
       243.1000                   2.9509                             2.9509
       243.6000                   2.9473                             2.9473
       244.6000                   2.9400                             2.9400
       245.1000                   2.9364                             2.9364
       246.1000                   2.9292                             2.9292
       246.6000                   2.9256                             2.9256
       247.6000                   2.9185                             2.9185
       248.1000                   2.9150                             2.9150
       249.1000                   2.9080                             2.9080
       249.6000                   2.9045                             2.9045
